Vorname,Nachname,Alter,Betriebszugehoerigkeit,EhepartnerUnterhalt,KinderUnterhalt,Schwerbehindert,Arbeitsvertrag
Debra,Myers,33,10,0,3,1,167
Tamara,Richards,46,1,0,2,0,130
Katelyn,Snyder,24,5,1,2,0,130
Holly,Dominguez,51,12,0,0,1,80
Alvin,Rollins,42,13,0,3,1,80
Stephen,Price,42,25,1,0,0,167
Garrett,Vasquez,27,11,0,2,0,80
Zachary,Mitchell,29,7,0,2,1,167
Matthew,Martin,57,12,1,3,0,80
Alex,Alexander,48,27,1,2,0,167
Robert,Martin,24,3,0,0,1,160
Tyler,Ponce,49,27,0,2,0,145
George,Moyer,26,9,0,1,1,160
Amy,Nichols,47,21,0,3,1,145
David,Carr,44,10,1,0,0,167
Daniel,Gallegos,24,2,0,2,1,80
Kathleen,Armstrong,55,24,0,0,1,80
Brittany,Cruz,58,20,0,0,1,130
Frederick,Rivers,53,15,1,1,1,145
Susan,Thompson,45,18,1,1,1,167
Erik,Good,40,20,1,2,0,130
Michelle,Hernandez,25,6,1,3,1,80
Anna,Webb,56,19,0,3,0,130
Louis,Sloan,57,7,0,3,1,160
Andre,Fitzpatrick,51,12,0,0,0,130
Paul,Taylor,24,7,0,0,0,145
Anthony,Taylor,56,20,0,2,1,80
Phillip,Avila,53,37,1,1,1,167
Gregory,Page,32,1,0,3,0,145
Lori,Cook,54,27,1,1,0,145
Emily,Pearson,25,7,0,0,0,80
Lisa,Snyder,51,19,0,2,0,145
Robin,Skinner,35,3,1,2,0,160
Megan,Marshall,29,1,0,1,1,167
Cindy,Parker,24,2,1,3,1,160
Tara,Burgess,22,3,1,1,1,80
Leslie,Martinez,21,1,0,3,1,167
Gabriel,Wilkins,45,6,1,2,1,80
Andrea,Johnson,44,9,1,0,0,130
Monica,King,38,12,0,3,1,160
